sku_id,brand,category,product,sku_ref,original_url,declared_image_url,product_page_url,final_image_url,status,local_path,sha256,failure_reason,classification_note,source_link_type,attempted_urls
SKU0001,Bottega Veneta,Outerwear,Intrecciato Leather Blouson,A007KNV6WX03167,https://bottega-veneta.dam.kering.com/asset/6d6d6ab6-ca9a-49bd-8a4d-6dadc438a3c0/Medium/A007KNV6WX03167_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/6d6d6ab6-ca9a-49bd-8a4d-6dadc438a3c0/Medium/A007KNV6WX03167_A.jpg?v=1,https://www.bottegaveneta.com/en-us/intrecciato-leather-blouson-tarragon-A007KNV6WX03167.html,https://bottega-veneta.dam.kering.com/asset/6d6d6ab6-ca9a-49bd-8a4d-6dadc438a3c0/Medium/A007KNV6WX03167_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0001_8ecb76cfa516.jpg,8ecb76cfa51666e922e4d8feea7723695b1640ba62e9768b69f46e3c639fe78d,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/6d6d6ab6-ca9a-49bd-8a4d-6dadc438a3c0/Medium/A007KNV6WX03167_A.jpg?v=1""]"
SKU0002,Bottega Veneta,Outerwear,Weathered Leather Shirt,A007T0V6V601059,https://bottega-veneta.dam.kering.com/asset/f89a634a-a1ac-42e1-8f0a-250a493eb575/Medium/A007T0V6V601059_A.jpg?v=2,https://bottega-veneta.dam.kering.com/asset/f89a634a-a1ac-42e1-8f0a-250a493eb575/Medium/A007T0V6V601059_A.jpg?v=2,https://www.bottegaveneta.com/en-us/weathered-leather-shirt-black-brown-A007T0V6V601059.html,https://bottega-veneta.dam.kering.com/asset/f89a634a-a1ac-42e1-8f0a-250a493eb575/Medium/A007T0V6V601059_A.jpg?v=2,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0002_92baa6ba7852.jpg,92baa6ba78528460f5616301e1539ce6a0d2b70d520874d655358c6bfefbe533,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/f89a634a-a1ac-42e1-8f0a-250a493eb575/Medium/A007T0V6V601059_A.jpg?v=2""]"
SKU0003,Bottega Veneta,Outerwear,Satin Nylon Blouson,A000ZAV6C503167,https://www.bottegaveneta.com/en-us/satin-nylon-blouson-tarragon-A000ZAV6C503167.html,,https://www.bottegaveneta.com/en-us/satin-nylon-blouson-tarragon-A000ZAV6C503167.html,https://bottega-veneta.dam.kering.com/asset/f0fbb7e7-b1f5-4fb3-b6ea-59b657768d74/Medium/A000ZAV6C503167_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0003_01f487c4ea51.jpg,01f487c4ea51152710b27a993f5c5ac1cefc4514501ed2b67bea65a0438266fb,,,官网商品页（动态图片）,"[""https://www.bottegaveneta.com/en-us/satin-nylon-blouson-tarragon-A000ZAV6C503167.html"", ""https://bottega-veneta.dam.kering.com/asset/f0fbb7e7-b1f5-4fb3-b6ea-59b657768d74/Medium/A000ZAV6C503167_A.jpg?v=1""]"
SKU0004,Bottega Veneta,Outerwear,Cotton and Nylon Twill Puffer Jacket,A00AF6V6YS02789,https://bottega-veneta.dam.kering.com/asset/a7fa2a18-6537-4f74-9de0-58fe60811a04/Medium/A00AF6V6YS02789_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/a7fa2a18-6537-4f74-9de0-58fe60811a04/Medium/A00AF6V6YS02789_A.jpg?v=1,https://www.bottegaveneta.com/en-us/cotton-and-nylon-twill-puffer-jacket-wenge-A00AF6V6YS02789.html,https://bottega-veneta.dam.kering.com/asset/a7fa2a18-6537-4f74-9de0-58fe60811a04/Medium/A00AF6V6YS02789_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0004_30e2bc355fab.jpg,30e2bc355fab290068a87b3ace164ac35143b39e01d0492e382324c2ff566c78,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/a7fa2a18-6537-4f74-9de0-58fe60811a04/Medium/A00AF6V6YS02789_A.jpg?v=1""]"
SKU0005,Bottega Veneta,Outerwear,Suede Leather Blouson,875155V6QU08207,https://bottega-veneta.dam.kering.com/asset/8934e6f6-3cd4-4a16-93d6-e41fc7aaed9b/Medium/875155V6QU08207_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/8934e6f6-3cd4-4a16-93d6-e41fc7aaed9b/Medium/875155V6QU08207_A.jpg?v=1,https://www.bottegaveneta.com/en-us/suede-leather-blouson-tobacco-875155V6QU08207.html,https://bottega-veneta.dam.kering.com/asset/8934e6f6-3cd4-4a16-93d6-e41fc7aaed9b/Medium/875155V6QU08207_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0005_b275672fef77.jpg,b275672fef771f642ce5b6e8ae357149c321e36f68864f6a3d536bb0695b6e59,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/8934e6f6-3cd4-4a16-93d6-e41fc7aaed9b/Medium/875155V6QU08207_A.jpg?v=1""]"
SKU0006,Bottega Veneta,Outerwear,Papery Leather Blouson,871516V5BW09000,https://bottega-veneta.dam.kering.com/asset/c15f6f3a-a3d8-4e45-bdb7-c01fd527a5ba/Medium/871516V5BW09000_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/c15f6f3a-a3d8-4e45-bdb7-c01fd527a5ba/Medium/871516V5BW09000_A.jpg?v=1,https://www.bottegaveneta.com/en-us/papery-leather-blouson-white-871516V5BW09000.html,https://bottega-veneta.dam.kering.com/asset/c15f6f3a-a3d8-4e45-bdb7-c01fd527a5ba/Medium/871516V5BW09000_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0006_1137fce8b7bd.jpg,1137fce8b7bde22502ea6b6d52ec59c893e76638c6eb0144ee8f9bdf2d7d535a,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/c15f6f3a-a3d8-4e45-bdb7-c01fd527a5ba/Medium/871516V5BW09000_A.jpg?v=1""]"
SKU0007,Bottega Veneta,Outerwear,Prince Of Wales Wool Jacket,A0024VV6NC02207,https://www.bottegaveneta.com/en-us/prince-of-wales-wool-jacket-silt-stucco-melange-A0024VV6NC02207.html,,https://www.bottegaveneta.com/en-us/prince-of-wales-wool-jacket-silt-stucco-melange-A0024VV6NC02207.html,https://bottega-veneta.dam.kering.com/asset/16ecf43e-222a-4811-9f19-dd59f7d3cb1c/Medium/A0024VV6NC02207_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0007_ff41e891843d.jpg,ff41e891843d987e523188822793c635e075787f9d9bcdd3e98a5e7888cef723,,,官网商品页（动态图片）,"[""https://www.bottegaveneta.com/en-us/prince-of-wales-wool-jacket-silt-stucco-melange-A0024VV6NC02207.html"", ""https://bottega-veneta.dam.kering.com/asset/16ecf43e-222a-4811-9f19-dd59f7d3cb1c/Medium/A0024VV6NC02207_A.jpg?v=1""]"
SKU0008,Bottega Veneta,Outerwear,Wool And Mohair Jacket,871422V6O204418,https://bottega-veneta.dam.kering.com/asset/9c288d5c-5ea1-49ab-8d77-6f11bf9cd9f4/Medium/871422V6O204418_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/9c288d5c-5ea1-49ab-8d77-6f11bf9cd9f4/Medium/871422V6O204418_A.jpg?v=1,https://www.bottegaveneta.com/en-us/wool-and-mohair-jacket-blue-gray-melange-871422V6O204418.html,https://bottega-veneta.dam.kering.com/asset/9c288d5c-5ea1-49ab-8d77-6f11bf9cd9f4/Medium/871422V6O204418_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0008_d6044313b5e0.jpg,d6044313b5e0cf58c42c4fa4261840c5195b08e5c4187346f62b6efedd83c278,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/9c288d5c-5ea1-49ab-8d77-6f11bf9cd9f4/Medium/871422V6O204418_A.jpg?v=1""]"
SKU0009,Bottega Veneta,Outerwear,Wool And Cotton Jacket,871427V6NB02512,https://bottega-veneta.dam.kering.com/asset/6f9c8c13-2692-405d-8d83-1f64b6a6f8bd/Medium/871427V6NB02512_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/6f9c8c13-2692-405d-8d83-1f64b6a6f8bd/Medium/871427V6NB02512_A.jpg?v=1,https://www.bottegaveneta.com/en-us/wool-and-cotton-jacket-beige-light-blue-871427V6NB02512.html,https://bottega-veneta.dam.kering.com/asset/6f9c8c13-2692-405d-8d83-1f64b6a6f8bd/Medium/871427V6NB02512_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0009_5567fd25392a.jpg,5567fd25392a23c803c5deeef3b719cd3aeb6dd4792794adcaa6f0089b034ad2,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/6f9c8c13-2692-405d-8d83-1f64b6a6f8bd/Medium/871427V6NB02512_A.jpg?v=1""]"
SKU0010,Bottega Veneta,Outerwear,Wool Grain De Poudre Jacket,871427V66I01010,https://bottega-veneta.dam.kering.com/asset/7c31db82-df0f-43e0-aa05-aed050acbdb0/Medium/871427V66I01010_A.jpg?v=1,https://bottega-veneta.dam.kering.com/asset/7c31db82-df0f-43e0-aa05-aed050acbdb0/Medium/871427V66I01010_A.jpg?v=1,https://www.bottegaveneta.com/en-us/wool-grain-de-poudre-jacket-double-black-871427V66I01010.html,https://bottega-veneta.dam.kering.com/asset/7c31db82-df0f-43e0-aa05-aed050acbdb0/Medium/871427V66I01010_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0010_a29f4518def1.jpg,a29f4518def13add7c2f6e47778e2a44060309a9a1388b2aec46071ec092a939,,,官方CDN主图直链,"[""https://bottega-veneta.dam.kering.com/asset/7c31db82-df0f-43e0-aa05-aed050acbdb0/Medium/871427V66I01010_A.jpg?v=1""]"
SKU0011,Bottega Veneta,Outerwear,Suede Leather Jacket,874930V4LG02135,https://www.bottegaveneta.com/en-us/suede-leather-jacket-intense-carrubo-874930V4LG02135.html,,https://www.bottegaveneta.com/en-us/suede-leather-jacket-intense-carrubo-874930V4LG02135.html,https://bottega-veneta.dam.kering.com/asset/71b1fe60-cabb-41dc-a06b-087366ad1e63/Medium/874930V4LG02135_A.jpg?v=1,downloaded,data\luxury-image-library\images\Bottega Veneta\Outerwear\SKU0011_12ec70375ce2.jpg,12ec70375ce23a05773720b942f17fd499455eab7e524a4c6bde4943128f62e2,,,官网商品页（动态图片）,"[""https://www.bottegaveneta.com/en-us/suede-leather-jacket-intense-carrubo-874930V4LG02135.html"", ""https://bottega-veneta.dam.kering.com/asset/71b1fe60-cabb-41dc-a06b-087366ad1e63/Medium/874930V4LG02135_A.jpg?v=1""]"
